embedding_text,category,label,predicted_label,predicted_category
حدائق تونه شرائح مدخنه حدائق 120جم,"Tins, Jars & Packets",35,22,"Nuts, Dates & Dried Fruits"
كوكاكولا استار كوكاكولا 330مل,Soft Drinks & Juices,30,7,Chips & Crackers
fresh farm beef hot dog Fresh 1Kg,Beef & Processed Meat,3,3,Beef & Processed Meat
زاهر ايس كريم بوله زاهر 12ج,"Chocolates, Sweets & Desserts",8,5,Breakfast Cereals & Bars
brix purple floor cleaner Brix 3L,Cleaning Supplies,9,9,Cleaning Supplies
شاي ليبتون 26فتلة عرض نية 1 0 900 شاي 9ج,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
فيرى منظف مركز اصلى ٤٥ 2195 1 2195 فيرى,Cleaning Supplies,9,9,Cleaning Supplies
قهوتي بن محوج سكر مظبوط جاهز للتحضير قهوتي كيس,"Tea, Coffee & Hot Drinks",34,11,Cooking Ingredients
بيبسى كانز بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
ثرى شفس سينجلز اسكالوب لحم ثرى 90جم,Beef & Processed Meat,3,3,Beef & Processed Meat
المتحده قوانص صافى فريش المتحده 500جم,Poultry,27,9,Cleaning Supplies
علبه لارج علبه,Biscuits & Cakes,4,20,Laundry & Detergents
بريد واى برجر بالسمسم بريد 220جم,Beef & Processed Meat,3,3,Beef & Processed Meat
جبنة كورة جبنة,Dairy & Eggs,12,7,Chips & Crackers
لاكتيل لبن فريش كامل لاكتيل 1لتر,Dairy & Eggs,12,2,Beef & Lamb Meat
كانز بيبسى كانز,Soft Drinks & Juices,30,30,Soft Drinks & Juices
california garden egyptian foul ram Garden 400G,"Tins, Jars & Packets",35,37,Vegetables & Herbs
أوراق الزعتر أوراق,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
بيض شيدر بلدي بيض,Dairy & Eggs,12,12,Dairy & Eggs
فريش فارم قشطه رومى 1ك فريش,Poultry,27,28,"Rice, Pasta & Pulses"
تايجر صويا صوص فاتحغامق ل تايجر 320مل,"Sauces, Dressings & Condiments",29,3,Beef & Processed Meat
فيرى مواعين فيرى,Cleaning Supplies,9,6,Candles & Air Fresheners
atyab chicken strips Atyab 400g,Poultry,27,27,Poultry
kiri triangle cheese Kiri,Dairy & Eggs,12,3,Beef & Processed Meat
بيبسي كانز 2 750 بيبسي ٢٥٠مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
sun shine light tuna meat chunks easy open m Sun 185G,"Tins, Jars & Packets",35,11,Cooking Ingredients
جبنه بيضاء اسطنبولى جبنه,Dairy & Eggs,12,3,Beef & Processed Meat
تمرى فيليه 1ك تمرى,Poultry,27,6,Candles & Air Fresheners
منظف تواليت ماجيك برائحة الليمون منظف 700مل,Cleaning Supplies,9,9,Cleaning Supplies
2625 875 3 fizz pure nestle 26.25,Water,38,30,Soft Drinks & Juices
برنجلز شيبسى ملح برنجلز 130جم,Chips & Crackers,7,28,"Rice, Pasta & Pulses"
كبده بقري مجمده كبده 450جم,Beef & Processed Meat,3,3,Beef & Processed Meat
danone 53 plain Danone 105G,Dairy & Eggs,12,24,Perfumes & Deodorants
سوبر سوبريم سيسليان بيبيسي كانز سوبر 330مل,"Personal Care, Skin & Body Care",25,30,Soft Drinks & Juices
تانج مانجو تانج 25ج,Soft Drinks & Juices,30,6,Candles & Air Fresheners
twinings gunpowder green tea and mint ram Twinings 200G,"Tea, Coffee & Hot Drinks",34,35,"Tins, Jars & Packets"
blue mare caviar cream extra Mare 190g,"Tins, Jars & Packets",35,11,Cooking Ingredients
اطياب لانشون لاحمه اطياب 250جم,Beef & Processed Meat,3,2,Beef & Lamb Meat
dilmah green tea with mint 20 tea bags Green,"Tea, Coffee & Hot Drinks",34,35,"Tins, Jars & Packets"
هولز حلوى بنكهة الفراولة هولز ٢٥.٢جم,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
وعاء بلاستيك م ب س وعاء,Furniture,16,35,"Tins, Jars & Packets"
شيبسى سوبر الملك طماطم 40رام شيبسى 45ج,Chips & Crackers,7,19,"Jams, Spreads & Syrups"
مشروم قطع مونارك مشروم 400جم,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
تايجر شيبس طماطم تايجر,Chips & Crackers,7,9,Cleaning Supplies
كوكى فراخ شيش طاووق مشوى كوكى 350جم,Poultry,27,11,Cooking Ingredients
جهينه مكس فراز جهينه 105جم,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
تشيكن فليه سائد قاموس ستارساندوتش بالجبنن بطاطا عادي متوسط بيبسي كانز تشيكن,Soft Drinks & Juices,30,11,Cooking Ingredients
هيرو بيبي خضار مشكلة هيرو 120جم,Vegetables & Fruits,36,18,Home Appliances
اليمنى بن ساده فاتح، رام اليمنى 200ج,"Tea, Coffee & Hot Drinks",34,28,"Rice, Pasta & Pulses"
سي كمارا بسكويت بالكاكاو محشو مارشملو سي,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
حليب مكس فراوله حليب,Dairy & Eggs,12,8,"Chocolates, Sweets & Desserts"
الاطيب مكرونة خواتم ك 1ك الاطيب,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
هوت صوص هيرمان هوت 473مل,"Sauces, Dressings & Condiments",29,8,"Chocolates, Sweets & Desserts"
iliada k olive tomatoes sp K 175G,"Tins, Jars & Packets",35,11,Cooking Ingredients
large water Water,Water,38,38,Water
عيش بلدي فينو عيش,Bakery,1,23,Party Supplies And Gifts
كانز كانز,Soft Drinks & Juices,30,6,Candles & Air Fresheners
اوراك دجاج روستي فريش وزن اوراك,Poultry,27,3,Beef & Processed Meat
halwani tahina m Tahina 710G,"Sauces, Dressings & Condiments",29,5,Breakfast Cereals & Bars
زجاجه مياه صغيره زجاجه,Water,38,30,Soft Drinks & Juices
بسمة بسلة بالجزر بسمة ٤٠٠جم,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
4750 4750 1 water natural nestle 47.50,Water,38,38,Water
snickers miniatures m Snickers 150G,"Chocolates, Sweets & Desserts",8,7,Chips & Crackers
دومتى عصير مانجو تتراباك دومتى 235مل,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
بريتزو مينى ستكس بريتزو,Chips & Crackers,7,3,Beef & Processed Meat
سن توب اناناس برتقالتوت مشكل سن 1لتر,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
مكفتيز مينز قمح دارك مكفتيز 52ج,Biscuits & Cakes,4,22,"Nuts, Dates & Dried Fruits"
دونات توداي بالشوكولاتة والكراميل دونات,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
الضحى مكرونه فيوزللى الضحى 400جم,"Rice, Pasta & Pulses",28,3,Beef & Processed Meat
مفروم فاخر 1ك مفروم,Beef & Processed Meat,3,3,Beef & Processed Meat
كوكي فراخ بانية كرانشي سبايسي كوكي,Poultry,27,32,Sugar & Home Baking
دومتي جبنة بيضاء بالخيار دومتي 500جم,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
بيبسى كانز بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
توب شيف خبز شعير 3ف توب,Bakery,1,34,"Tea, Coffee & Hot Drinks"
النور ملح 200 النور 250جم,Cooking Ingredients,11,6,Candles & Air Fresheners
alwatania chicken pane m Chicken 500g,Poultry,27,27,Poultry
تروللى 4 دور بلاستيك بعجل 666 تروللى,Furniture,16,22,"Nuts, Dates & Dried Fruits"
بطاطس تحمير 2030 650 1320 بطاطس,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
بونجورنو عيش لبنانى بونجورنو,Bakery,1,20,Laundry & Detergents
1 pepsi b Pepsi Bottle,Soft Drinks & Juices,30,30,Soft Drinks & Juices
three chefs chicken pane Three 400g,Poultry,27,11,Cooking Ingredients
isis natural water iter of 12 Isis 1.5L Pack,Water,38,38,Water
بامية لولو مجمدة ٤٠٠ غرام بامية,Vegetables & Fruits,36,2,Beef & Lamb Meat
علبه مشكل لوكس كبير 50 ق علبه,Bakery,1,35,"Tins, Jars & Packets"
مياه فللو مياه 600مل,Water,38,38,Water
danone light yoghurt Danone 170g,Dairy & Eggs,12,30,Soft Drinks & Juices
دايجيستف بسكويت الشوفان محشو 2 200 400 دايجيستف,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
2350 cocacola regular 1 23.50,Soft Drinks & Juices,30,30,Soft Drinks & Juices
عافيه زيت ذره عافيه 800مل,Cooking Ingredients,11,6,Candles & Air Fresheners
كفتة داوود باشا بلدي كفتة,Beef & Processed Meat,3,23,Party Supplies And Gifts
juhayna yogurt plain 93 Juhayna 105g,Dairy & Eggs,12,30,Soft Drinks & Juices
المطبخ المصرى ارز عرض المطبخ 1كجم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
عنب احمر 2020 35 7070 عنب,Vegetables & Fruits,36,6,Candles & Air Fresheners
مشروب كانز مشروب,Soft Drinks & Juices,30,30,Soft Drinks & Juices
corona hot choco cinnamon 31 1p Corona,"Chocolates, Sweets & Desserts",8,11,Cooking Ingredients
عش البلبل اللبناني هاواي عش 300جم,Bakery,1,26,Pets Care
كوكاكولا بلاستيك كوكاكولا 2.45لتر,Soft Drinks & Juices,30,7,Chips & Crackers
خل تفاح طبيعي لي خل 300مل,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
كوكاكولا كوكاكولا 1.5لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
بسمتى تيلاندى بسمتى,"Rice, Pasta & Pulses",28,3,Beef & Processed Meat
علبه مخلل مشكل علبه,"Tins, Jars & Packets",35,35,"Tins, Jars & Packets"
al watania fried chicken Watania,Poultry,27,3,Beef & Processed Meat
مسحوق قرفة مسحوق 150جم,Cooking Ingredients,11,19,"Jams, Spreads & Syrups"
أكوافينا مياه الشرب المعبأة أكوافينا 1.5لتر,Water,38,38,Water
فريز مشروب توت فوار فريز,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
اريال اوتوماتيك جل لافندر 25ك اريال,Cleaning Supplies,9,20,Laundry & Detergents
شيفى مكس صوص الديمي جلاس شيفى 100جم,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
vanilla butter cream cake small 1pc Butter,Biscuits & Cakes,4,1,Bakery
وادي فوود صلصة طماطم وادي 3كجم,"Tins, Jars & Packets",35,22,"Nuts, Dates & Dried Fruits"
دساني جالون دساني 18.90لتر,Water,38,22,"Nuts, Dates & Dried Fruits"
رويال مكرونة خواتم صغيرة رويال 400جم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
tiffany glucose milk honey biscuits 12 x Tiffany 40g,Biscuits & Cakes,4,4,Biscuits & Cakes
نعناع بلدى نعناع 100جم,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
nescafe cappuvanilla Nescafe 18.5g,"Tea, Coffee & Hot Drinks",34,30,Soft Drinks & Juices
ريتش بيك بقبسماط مطحون ريتش 500ج,Bakery,1,28,"Rice, Pasta & Pulses"
علبه توم اند بصل علبه,Vegetables & Herbs,37,2,Beef & Lamb Meat
مولتو كبير مولتو,Bakery,1,3,Beef & Processed Meat
وندربار كادبورى وندربار 49جم,"Chocolates, Sweets & Desserts",8,6,Candles & Air Fresheners
جبنه ماينز زيتون جبنه,Dairy & Eggs,12,3,Beef & Processed Meat
durra tomato ketchupsweet500 Durra,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
شاي أسود بنكهة القرفة 20 شاي,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
americana broad beans ram Americana 400G,"Tins, Jars & Packets",35,37,Vegetables & Herbs
black pepper wholeimp approx weight Pepper 150g,Cooking Ingredients,11,11,Cooking Ingredients
اطياب قشطه دجاج بالكيلو اطياب,Poultry,27,3,Beef & Processed Meat
بيض بلدي فلاحي 226 15 3390 بيض,Dairy & Eggs,12,12,Dairy & Eggs
قهوه ميلكى قهوه 18ج,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
taste pure pepperoni m Taste 250g,Beef & Processed Meat,3,28,"Rice, Pasta & Pulses"
عصير جوافة نكتار من بارادايس بسعة عصير 300مل علبة,Soft Drinks & Juices,30,30,Soft Drinks & Juices
بالسن بيك اب بالشوكولاته و الحليب بالسن 28جم,Biscuits & Cakes,4,32,Sugar & Home Baking
فارم فريتس بطاطس ستيك هاوس رام فارم 700ج,Vegetables & Fruits,36,18,Home Appliances
اشهي لانشون بقري ساده اشهي 250جم,Beef & Processed Meat,3,28,"Rice, Pasta & Pulses"
premium fava beans plain medammas m Premium 400g,"Tins, Jars & Packets",35,11,Cooking Ingredients
هاينز مايونيز 180 هاينز,"Sauces, Dressings & Condiments",29,20,Laundry & Detergents
كوكاكولا بلاستيك كوكاكولا 300مل,Soft Drinks & Juices,30,7,Chips & Crackers
فاكهه عصير مانجو فاكهه 250مل,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
sunbites olive oregano snacks m Sunbites 31g,Chips & Crackers,7,22,"Nuts, Dates & Dried Fruits"
فانتا برتقال فانتا 250مل,Soft Drinks & Juices,30,28,"Rice, Pasta & Pulses"
عصير رمان دون سكر عصير 1.5لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
atyab hot breaded chicken fillet Atyab 500g,Poultry,27,3,Beef & Processed Meat
خيار صوب رام ٩٥٠ ١٠٣٦ خيار ١.٠٩ج,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
كلوركس كلور جركن كلوركس 1.89لتر,Cleaning Supplies,9,7,Chips & Crackers
كولا كانز كولا,Soft Drinks & Juices,30,8,"Chocolates, Sweets & Desserts"
ويفر ماستر ويفر 32ج,Biscuits & Cakes,4,3,Beef & Processed Meat
لمار لبن خالى الدسم 1745 1 45 لمار 1لتر,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
deemah strawberry cream biscuits ram Deemah 68g,Biscuits & Cakes,4,4,Biscuits & Cakes
اكوافينا مياه معدنيه زجاجه اكوافينا 1.5لتر,Water,38,34,"Tea, Coffee & Hot Drinks"
glass cleaner scent of fruits 1 free - 550ml,Cleaning Supplies,9,9,Cleaning Supplies
le 2300 1 2300 16 snacks salt mixy pretzo 23.00,Chips & Crackers,7,3,Beef & Processed Meat
جاردينو كاتشب ديوباك جاردينو 280جم,"Sauces, Dressings & Condiments",29,19,"Jams, Spreads & Syrups"
رو بطاطس بالهلابينو رو 95جم,Chips & Crackers,7,3,Beef & Processed Meat
faiez al suhagy crushed beans m Faiez 500g,"Rice, Pasta & Pulses",28,22,"Nuts, Dates & Dried Fruits"
domty apple juice Domty 1L,Soft Drinks & Juices,30,30,Soft Drinks & Juices
balady beef sausage by weight Beef,Beef & Processed Meat,3,3,Beef & Processed Meat
فراخ بانية فراخ,Poultry,27,5,Breakfast Cereals & Bars
فلفل اسود فلفل 230جم,Cooking Ingredients,11,30,Soft Drinks & Juices
زجاجه بيبسى زجاجه,Soft Drinks & Juices,30,30,Soft Drinks & Juices
جلاكسى ام اند ام شيكولاته جلاكسى 37جم,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
دامفى خبز توست المح الكامل دامفى,Bakery,1,3,Beef & Processed Meat
مطبقيه مودرن بلاستيك مطبقيه,Furniture,16,20,Laundry & Detergents
كيرى جبن سبريد كيرى,Dairy & Eggs,12,3,Beef & Processed Meat
روز بيف شرائح روز,Beef & Processed Meat,3,5,Breakfast Cereals & Bars
أرز بسمتي ذهبي فاخر دريا 5ك أرز,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
tiffany break rizzo crunchy wafer with caramel x Tiffany 35g,Biscuits & Cakes,4,5,Breakfast Cereals & Bars
sauce q honey Sauce,"Sauces, Dressings & Condiments",29,29,"Sauces, Dressings & Condiments"
كادبورى ديرى ميلك ساده وبندق بالشيكولاته كادبورى 110جم,"Chocolates, Sweets & Desserts",8,30,Soft Drinks & Juices
2749 حلواني لانشون لحمة 27.49,Beef & Processed Meat,3,8,"Chocolates, Sweets & Desserts"
مقص بلاستيك مقص,Furniture,16,3,Beef & Processed Meat
هاينز كاتشب دويباك جم 285 هاينز,"Sauces, Dressings & Condiments",29,19,"Jams, Spreads & Syrups"
كيندر شوكلاته كيندر,"Chocolates, Sweets & Desserts",8,4,Biscuits & Cakes
600 300 طحينة 20 6.00,"Sauces, Dressings & Condiments",29,36,Vegetables & Fruits
شهد فيلية فراخ فريش شهد 400جم,Poultry,27,16,Furniture
danone tasty peach yogurt Danone 120g,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
علبه مخلل علبه,"Tins, Jars & Packets",35,9,Cleaning Supplies
سائل منظف اطباق بريل سائل 600جم,Cleaning Supplies,9,9,Cleaning Supplies
dasani natural water Dasani 18.90L,Water,38,38,Water
زجاجه ستانلس الوان زجاجه,Furniture,16,30,Soft Drinks & Juices
سندباد خل 1 لنر سندباد,"Sauces, Dressings & Condiments",29,6,Candles & Air Fresheners
بطاطس ملح وخل نوش نوش بطاطس 56جم,Chips & Crackers,7,30,Soft Drinks & Juices
jardino mustard Jardino 235G,"Sauces, Dressings & Condiments",29,10,"Condiments, Dressings & Marinades"
طحينة الميزان الرشيدي طحينة 780جم,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
شوربه كريمه الدجاج من ماجي شوربه,"Tins, Jars & Packets",35,8,"Chocolates, Sweets & Desserts"
italiano serpentini pasta Serpentini 400g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
fresh labneh with jalapeno Fresh 300g,Dairy & Eggs,12,11,Cooking Ingredients
مورو شيكولاتة مورو 40جم,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
مايا مياه 2 ليتر مايا,Water,38,30,Soft Drinks & Juices
ريتش بيك هامبرجر ريتش 240جم,Bakery,1,7,Chips & Crackers
زبادى كامل الدسم بالفراوله هيلثى ميلك زبادى 75جم,Dairy & Eggs,12,10,"Condiments, Dressings & Marinades"
حلوه حلوه 750ج,"Tins, Jars & Packets",35,8,"Chocolates, Sweets & Desserts"
شراب شعير باربيكان بالرمان شراب 330مل,Soft Drinks & Juices,30,5,Breakfast Cereals & Bars
خل التفاح خل 946مل,"Sauces, Dressings & Condiments",29,30,Soft Drinks & Juices
جوزه الطيب حصى باب الشام جوزه,Cooking Ingredients,11,30,Soft Drinks & Juices
قشطة خل 1 450 450 قشطة ١لتر,"Sauces, Dressings & Condiments",29,34,"Tea, Coffee & Hot Drinks"
ماكفيتيز بسكويت دايجستف لايت ماكفيتيز 400جم,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
activia natural yoghurt Activia 105G,Dairy & Eggs,12,30,Soft Drinks & Juices
بروكير كمامه علبه 50 ق بروكير,"Personal Care, Skin & Body Care",25,23,Party Supplies And Gifts
مذهب فdeya طقم قهوة زجاج مدهب باليد 6 ق مذهب,Furniture,16,34,"Tea, Coffee & Hot Drinks"
metco burger jumbo m Metco 1.50g,Beef & Processed Meat,3,3,Beef & Processed Meat
turkey (200G) 200g,Poultry,27,11,Cooking Ingredients
chipsy salt m Chipsy 102G,Chips & Crackers,7,7,Chips & Crackers
الزعفران بصل بودره الزعفران 70جم,Cooking Ingredients,11,5,Breakfast Cereals & Bars
بن قهوجى رام بن 100ج,"Tea, Coffee & Hot Drinks",34,2,Beef & Lamb Meat
جهينه بيور جهينه 1لتر,Soft Drinks & Juices,30,20,Laundry & Detergents
شيبسى حار نار رام شيبسى 77ج,Chips & Crackers,7,34,"Tea, Coffee & Hot Drinks"
بوردون لانشون لحم الدجاج بوردون 190جم,Beef & Processed Meat,3,2,Beef & Lamb Meat
خير زمان برتقال بصره 1ك خير,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
شاى ناعم شاى,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
بسكويت ديمه بالتمر بسكويت 63جم,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
برافو شيبسى برافو 3ج,Chips & Crackers,7,5,Breakfast Cereals & Bars
food rose water Food 250Ml,Water,38,38,Water
اطياب لانشون بالبهار وزن اطياب,Beef & Processed Meat,3,5,Breakfast Cereals & Bars
شيكولاتة غامقة ريزين شيكولاتة 45جم,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
نسكافيه 31 نسكافيه 18جم,"Tea, Coffee & Hot Drinks",34,22,"Nuts, Dates & Dried Fruits"
ميجا شيبس بسطرمه ميجا 100جم,Chips & Crackers,7,19,"Jams, Spreads & Syrups"
haribo jelly worms Haribo 100g,"Chocolates, Sweets & Desserts",8,37,Vegetables & Herbs
strawberry Strawberry 750g,Vegetables & Fruits,36,37,Vegetables & Herbs
كوهن دريسنج بلسميك كوهن 250مل,"Sauces, Dressings & Condiments",29,8,"Chocolates, Sweets & Desserts"
كوكس ملح طعام ناعم برطمان رام كوكس 700ج,Cooking Ingredients,11,11,Cooking Ingredients
اجزاء اوراك رومى العمار وزن اجزاء,Poultry,27,16,Furniture
لمار مشروب مانجو لمار,Soft Drinks & Juices,30,30,Soft Drinks & Juices
natural apple vinegar Vinegar 300Ml,"Sauces, Dressings & Condiments",29,36,Vegetables & Fruits
tiffany break 2 finger wafer rams Tiffany 15.5g,"Chocolates, Sweets & Desserts",8,11,Cooking Ingredients
قهوة اسبرسو منزوعة الكافيين جران ريلاكس من جيموكا قهوة 250جم,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
clorox cleaner amp disinfectant original itre 43 multi purpose cleaner itre &Amp; 1.89L,Cleaning Supplies,9,9,Cleaning Supplies
كانز بيبسى كانز,Soft Drinks & Juices,30,30,Soft Drinks & Juices
ديلى مشروب دوم ديلى 1لتر,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
halls hard candy with cherry m Hard 25.2G,"Chocolates, Sweets & Desserts",8,30,Soft Drinks & Juices
elleheimy beef hot dog Beef 900g,Beef & Processed Meat,3,2,Beef & Lamb Meat
merai smoked turkey breasts Merai,Poultry,27,11,Cooking Ingredients
الشمعدان كتاكيتو الشمعدان,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
لمار بيور مانجو عصير لمار 200مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
ستار مكرونة خواتم كبيرة 1 كيلو ستار,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
فيليه دجاج مشوي حلواني فيليه 400جم,Poultry,27,3,Beef & Processed Meat
المطبخ مكرونه فرن المطبخ 400جم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
برجر اطياب 1 ك برجر,Beef & Processed Meat,3,23,Party Supplies And Gifts
طبق توست طبق,Bakery,1,11,Cooking Ingredients
