embedding_text,category
مقص بلاستيك مقص,Furniture
هاينز كاتشب دويباك جم 285 هاينز,"Sauces, Dressings & Condiments"
كيندر شوكلاته كيندر,"Chocolates, Sweets & Desserts"
600 300 طحينة 20 6.00,"Sauces, Dressings & Condiments"
شهد فيلية فراخ فريش شهد 400جم,Poultry
danone tasty peach yogurt Danone 120g,Dairy & Eggs
علبه مخلل علبه,"Tins, Jars & Packets"
سائل منظف اطباق بريل سائل 600جم,Cleaning Supplies
dasani natural water Dasani 18.90L,Water
زجاجه ستانلس الوان زجاجه,Furniture
سندباد خل 1 لنر سندباد,"Sauces, Dressings & Condiments"
بطاطس ملح وخل نوش نوش بطاطس 56جم,Chips & Crackers
jardino mustard Jardino 235G,"Sauces, Dressings & Condiments"
طحينة الميزان الرشيدي طحينة 780جم,"Sauces, Dressings & Condiments"
شوربه كريمه الدجاج من ماجي شوربه,"Tins, Jars & Packets"
italiano serpentini pasta Serpentini 400g,"Rice, Pasta & Pulses"
fresh labneh with jalapeno Fresh 300g,Dairy & Eggs
مورو شيكولاتة مورو 40جم,"Chocolates, Sweets & Desserts"
مايا مياه 2 ليتر مايا,Water
ريتش بيك هامبرجر ريتش 240جم,Bakery
زبادى كامل الدسم بالفراوله هيلثى ميلك زبادى 75جم,Dairy & Eggs
حلوه حلوه 750ج,"Tins, Jars & Packets"
شراب شعير باربيكان بالرمان شراب 330مل,Soft Drinks & Juices
خل التفاح خل 946مل,"Sauces, Dressings & Condiments"
جوزه الطيب حصى باب الشام جوزه,Cooking Ingredients
قشطة خل 1 450 450 قشطة ١لتر,"Sauces, Dressings & Condiments"
ماكفيتيز بسكويت دايجستف لايت ماكفيتيز 400جم,Biscuits & Cakes
activia natural yoghurt Activia 105G,Dairy & Eggs
بروكير كمامه علبه 50 ق بروكير,"Personal Care, Skin & Body Care"
مذهب فdeya طقم قهوة زجاج مدهب باليد 6 ق مذهب,Furniture
metco burger jumbo m Metco 1.50g,Beef & Processed Meat
turkey (200G) 200g,Poultry
chipsy salt m Chipsy 102G,Chips & Crackers
الزعفران بصل بودره الزعفران 70جم,Cooking Ingredients
بن قهوجى رام بن 100ج,"Tea, Coffee & Hot Drinks"
جهينه بيور جهينه 1لتر,Soft Drinks & Juices
شيبسى حار نار رام شيبسى 77ج,Chips & Crackers
بوردون لانشون لحم الدجاج بوردون 190جم,Beef & Processed Meat
خير زمان برتقال بصره 1ك خير,Vegetables & Fruits
شاى ناعم شاى,"Tea, Coffee & Hot Drinks"
بسكويت ديمه بالتمر بسكويت 63جم,Biscuits & Cakes
برافو شيبسى برافو 3ج,Chips & Crackers
food rose water Food 250Ml,Water
اطياب لانشون بالبهار وزن اطياب,Beef & Processed Meat
شيكولاتة غامقة ريزين شيكولاتة 45جم,"Chocolates, Sweets & Desserts"
نسكافيه 31 نسكافيه 18جم,"Tea, Coffee & Hot Drinks"
ميجا شيبس بسطرمه ميجا 100جم,Chips & Crackers
haribo jelly worms Haribo 100g,"Chocolates, Sweets & Desserts"
strawberry Strawberry 750g,Vegetables & Fruits
كوهن دريسنج بلسميك كوهن 250مل,"Sauces, Dressings & Condiments"
كوكس ملح طعام ناعم برطمان رام كوكس 700ج,Cooking Ingredients
اجزاء اوراك رومى العمار وزن اجزاء,Poultry
لمار مشروب مانجو لمار,Soft Drinks & Juices
natural apple vinegar Vinegar 300Ml,"Sauces, Dressings & Condiments"
tiffany break 2 finger wafer rams Tiffany 15.5g,"Chocolates, Sweets & Desserts"
قهوة اسبرسو منزوعة الكافيين جران ريلاكس من جيموكا قهوة 250جم,"Tea, Coffee & Hot Drinks"
clorox cleaner amp disinfectant original itre 43 multi purpose cleaner itre &Amp; 1.89L,Cleaning Supplies
كانز بيبسى كانز,Soft Drinks & Juices
ديلى مشروب دوم ديلى 1لتر,Soft Drinks & Juices
halls hard candy with cherry m Hard 25.2G,"Chocolates, Sweets & Desserts"
elleheimy beef hot dog Beef 900g,Beef & Processed Meat
merai smoked turkey breasts Merai,Poultry
الشمعدان كتاكيتو الشمعدان,Biscuits & Cakes
لمار بيور مانجو عصير لمار 200مل,Soft Drinks & Juices
ستار مكرونة خواتم كبيرة 1 كيلو ستار,"Rice, Pasta & Pulses"
فيليه دجاج مشوي حلواني فيليه 400جم,Poultry
المطبخ مكرونه فرن المطبخ 400جم,"Rice, Pasta & Pulses"
برجر اطياب 1 ك برجر,Beef & Processed Meat
طبق توست طبق,Bakery
كيزر قطعة 240 6 1440 كيزر,Bakery
صفا بهارات صفا 40جم,Cooking Ingredients
raffaello chocolate - 30g,"Chocolates, Sweets & Desserts"
1995 بريدواى توست 19.95 500ج,Bakery
9 قطع ميني شوكو قطع علبة,Biscuits & Cakes
سبايسي خلطة الحواوشي سبايسي 90جم,Cooking Ingredients
علب لوكس 19 ص 36 ق علب,Furniture
الدوار جبنه قريش 1كيلو الدوار,Dairy & Eggs
برجر بقري ميتلاند 10 قطع برجر,Beef & Processed Meat
isis natural water iter Isis 1.5L,Water
اوريو شوكلاته بسكوت اوريو,Biscuits & Cakes
يمامه خل 250م يمامه,"Sauces, Dressings & Condiments"
halwani chicken burger 16p Chicken,Poultry
dasani mineral water Dasani,Water
سمان استينو طازج سمان,Poultry
عصير تفاح بشاير 4قطع عصير 200مل,Soft Drinks & Juices
شويبس لتر شويبس,Soft Drinks & Juices
عصير جهينه بيم كوكتيل عصير,Soft Drinks & Juices
14234 موزة بقرى بلدى 142.34,Beef & Processed Meat
squeeze pineapple juice Squeeze 1L,Soft Drinks & Juices
orouba cafe medium ground coffee cardamom m Orouba 100g,"Tea, Coffee & Hot Drinks"
صن بايتس طماطم متبلة 33 200 2 4 صن 29جم,Chips & Crackers
essential everyday italian style bread crumbs Everyday 425g,Bakery
دولي عصير أناناس بالبرتقال 4 دولي 250مل,Soft Drinks & Juices
شيبسى جبنه متبله عائلى شيبسى 92جم,Chips & Crackers
مج زجاج بالشاليموه مج,Furniture
2 pepsi Pepsi Can,Soft Drinks & Juices
نستله مياه بيور لايف نستله 1.5لتر,Water
بار شيكولاتة لواكر بالكراميل و البندق بار 50جم,"Chocolates, Sweets & Desserts"
مونتانا بسلة بالجزر رام مونتانا 400ج,Vegetables & Fruits
juicy fresh kiwi juice Juicy 300ml,Soft Drinks & Juices
hafsa medium couscous m Hafsa 400g,"Rice, Pasta & Pulses"
مورو بايت مورو,"Chocolates, Sweets & Desserts"
زاهر خيار قشه مخلل طبيعى بلاستيك زاهر 500ج,"Tins, Jars & Packets"
cold stone cone biscuit with biscuit Stone,Biscuits & Cakes
خل تفاح أمريكان جاردن 3150 1 000 3150 خل 473مل,"Sauces, Dressings & Condiments"
توليدو مع لحم تونا صلب رام توليدو 185ج,"Tins, Jars & Packets"
ماريو لحم تونا خفيف مقطعة بالزيت النباتي رام ماريو 140ج,"Tins, Jars & Packets"
اللحيمي فرانكفورتر اللحيمي 900جم,Beef & Processed Meat
al doha cumin r Doha 20G,Cooking Ingredients
ريجليز اكسترا علك فراولة 10 قطع ريجليز,"Chocolates, Sweets & Desserts"
heinz vinegar Heinz 1L,"Sauces, Dressings & Condiments"
از المطبخ فاخر از,"Rice, Pasta & Pulses"
جيفركس باميه وسط ممتازه جيفركس 400جم,Vegetables & Fruits
كادبورى بسكويت كادبورى,Biscuits & Cakes
جلاش باللحمه جلاش,Bakery
شيكولاتة كورونا بالبندق شيكولاتة 60جم,"Chocolates, Sweets & Desserts"
ديفاتول مطهر لافندر ديفاتول,Cleaning Supplies
برنجلز رقائق شيبسي بالقشة الح برنجلز,Chips & Crackers
circular sunbousse dough empanada Sunbousse,Bakery
شيبسي برينجلز بالكاتشب 40غ شيبسي,Chips & Crackers
ميلكا شيكولاته زبا ميلكا 300جم,"Chocolates, Sweets & Desserts"
كادبورى بندق كادبورى 56جم,"Chocolates, Sweets & Desserts"
bavaria assorted malt beverage Bavaria 330ml,Soft Drinks & Juices
خيار خيار,Vegetables & Fruits
جاردينو صلصه ظرف جاردينو 35كجم,"Tins, Jars & Packets"
بيتي تروبيكانا عصير برتقال 235 495 3 1095 بيتي,Soft Drinks & Juices
المراعى زبادى يونانى٢ ١ 1375 2 2750 المراعى,Dairy & Eggs
شيبسي بالشطة و الليمون شيبسي 170جم,Chips & Crackers
عصير مزارع دينا فريش اناناس عصير 1لتر,Soft Drinks & Juices
برجر بقري المراعي برجر 1كجم,Beef & Processed Meat
بيبسى كانز بيبسى,Soft Drinks & Juices
اطياب لانشون بالزيتون وزن اطياب,Beef & Processed Meat
توفبر حار كوكى كرانشى بانيه توفبر,Poultry
baraka pure water 12 x itre Baraka 1.5L,Water
لانشون حلواني كيلو 0135 120 162 لانشون,Beef & Processed Meat
مياه معدية صغيرة مياه,Water
يويوليس زبادى يونانى يوبو بالكراميل و اللوز، رام يويوليس 145ج,Dairy & Eggs
فارم لانشون بقرى ساده فارم,Beef & Processed Meat
فريش سمان سوبر جامبو350 فريش 400جم,Poultry
بسمة ملوخية بسمة,Vegetables & Fruits
atyab fried chicken parts 12 count Atyab,Poultry
بيبسى دايت كانز بيبسى 330مل,Soft Drinks & Juices
رانى اناناس كانز الطارق رانى 240مل,Soft Drinks & Juices
بن عربى اكسترا بن,"Tea, Coffee & Hot Drinks"
المراعى زبادى 9 3 مجانا المراعى,Dairy & Eggs
metco ground meat m Metco 900g,Beef & Processed Meat
domty sandwich feta plus olives Domty,Bakery
الرشيدى الميزان طحينه الرشيدى 275جم,"Sauces, Dressings & Condiments"
روشن بيم بوم حلوي بحشوة الفواكة روشن 200جم,"Chocolates, Sweets & Desserts"
الفتح بوليف وزن ٢٠٠٠ ٠٣١٠ ٦٢٠ الفتح,"Tins, Jars & Packets"
جبنة بيضاء بزيتون عبور لاند جبنة,Dairy & Eggs
علبه طحينه علبه,"Condiments, Dressings & Marinades"
fisherman mussels salad with vegetable mixture Fisherman 230g,"Tins, Jars & Packets"
deli sun mini tortillas Sun 250g,Bakery
فلفل حامى فلفل,Vegetables & Fruits
قطع جاتو ايس كريم قطع,"Chocolates, Sweets & Desserts"
اوليفتا بوليف اوليفتا,"Tins, Jars & Packets"
أقراص قهوة جيموكا كلاسيك أقراص 252جم,"Tea, Coffee & Hot Drinks"
برنش كرواسون بالشيكولاته برنش,Bakery
تونه قطع حاره تونه,"Tins, Jars & Packets"
كوكاكولا زيرو زجاج كوكاكولا 330مل,Soft Drinks & Juices
crf natural water 12 Crf 1.5L,Water
كلوريل مبيض 500م كلوريل,Cleaning Supplies
علبه وسط 2 مكرونه قليله ورز كتير1 بدون تقليه ومكرونه قليله ورز كتير علبه,"Rice, Pasta & Pulses"
زجاجه عصير كبيره زجاجه,Furniture
أوراق الكزبرة 1 ق أوراق,Vegetables & Fruits
بانينى براون قطعه بانينى,Bakery
صن شاين تونة فانسى قطع س 2075 3 6225 صن,"Tins, Jars & Packets"
domty feta cheese with roumy Domty 250g,Dairy & Eggs
helal bread basket palm large Bread,Bakery
لانشون لحم ميتلاند لانشون 800جم,Beef & Processed Meat
كيندر شوكولاته كيندر 21ج,"Chocolates, Sweets & Desserts"
حهينه حليب خالى الدسم حهينه 1لتر,Dairy & Eggs
هارفست فول مدمس ساده هارفست 400جم,"Tins, Jars & Packets"
americana peeled foul medammes with chilli m Americana 400G,"Tins, Jars & Packets"
ahmed tea tagless Ahmed,"Tea, Coffee & Hot Drinks"
حلوانى فرانك بقرى حلوانى,Beef & Processed Meat
california gardens white beans ram Gardens 400G,"Tins, Jars & Packets"
بريتزو اورجينال جبنه بريتزو 180جم,Chips & Crackers
1 chicken Chicken,Poultry
زجاجه الوان اكر زجاجه,Furniture
ماجى خلطة بشاميل ميكس رام ماجى 75ج,Cooking Ingredients
بيور عصير غير محلي كوكتيل 1 2400 بيور ١لتر,Soft Drinks & Juices
al rabie juice iter types Rabie 1l,Soft Drinks & Juices
باب الشام بابريكا باب 450جم,Cooking Ingredients
بيبسى مشروب غازى بيبسى,Soft Drinks & Juices
lorenz crunchips paprika Crunchips 100g,Chips & Crackers
وادي فود خل أبيض طبيعي وادي 1لتر,"Sauces, Dressings & Condiments"
spicy pretzel munchos crackers Spicy,Chips & Crackers
بامية بسمة زيرو بامية 400جم,Vegetables & Fruits
حدائق كاليفورنيا فول مدمس ساده حدائق 450جم,"Tins, Jars & Packets"
اطياب لانشون سادة وزن اطياب,Beef & Processed Meat
ماجي شوربة المشروم رام ماجي 67ج,"Tins, Jars & Packets"
rest drinking water Rest,Water
domty feta cheese m Domty 250g,Dairy & Eggs
مولد 5 مولد علبة,Sweets & Desserts
temry chilled chicken thigh Temry 1kg,Poultry
كانز كانز,Soft Drinks & Juices
بسمة بامية اكسترا بسمة 400جم,Vegetables & Fruits
بونجورنو كوفي ميكس في الخمسينه بونجورنو,"Tea, Coffee & Hot Drinks"
جهينه بيور عنب 235م جهينه,Soft Drinks & Juices
تيمبارك نكتار جريب فروت ابيض تيمبارك 1لتر,Soft Drinks & Juices
باب الشام سبع بهارات سورى باب,Cooking Ingredients
بيبتو استاند مارشملو كولا بيبتو,"Chocolates, Sweets & Desserts"
مصرية مكرونة شعرية مصرية,"Rice, Pasta & Pulses"
فتح مكسرات مشكله كانز فتح 600جم,"Nuts, Dates & Dried Fruits"
لاكتيل زبادى طبيعى لاكتيل 170جم,Dairy & Eggs
لورينز شيبس ملح لورينز 100جم,Chips & Crackers
شهى فول مجروش شهى 500جم,"Rice, Pasta & Pulses"
bravo chips with kebab Bravo,Chips & Crackers
مكرونة فرن من رويال مكرونة 400جم,"Rice, Pasta & Pulses"
لوربك زبده غير مملحه لوربك 400جم,Cooking Ingredients
temry chilled chicken fillet Temry 1kg,Poultry
عصير خروب ديلي عصير 1لتر,Soft Drinks & Juices
شيخون زيتون كلاماتا يونانى 1ك شيخون,"Tins, Jars & Packets"
halwani chicken luncheon plain approx weight Chicken 500g,Poultry
